Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,TrackType,Target
2021,16,Istanbul,Aston Martin,STR,VET,-2.0,-2.0,-26.0,0,-9.0,permanent,1
2021,16,Istanbul,Aston Martin,VET,STR,2.0,2.0,26.0,0,9.0,permanent,0
2021,16,Istanbul,Ferrari,LEC,SAI,-11.0,-16.0,-21.0,0,-4.0,permanent,1
2021,16,Istanbul,Ferrari,SAI,LEC,11.0,16.0,21.0,0,4.0,permanent,0
2021,16,Istanbul,McLaren,NOR,RIC,-8.0,-13.0,44.0,0,-6.0,permanent,1
2021,16,Istanbul,McLaren,RIC,NOR,8.0,13.0,-44.0,0,6.0,permanent,0
2021,16,Istanbul,Mercedes,BOT,HAM,1.0,-10.0,-108.0,0,-4.0,permanent,1
2021,16,Istanbul,Mercedes,HAM,BOT,-1.0,10.0,108.0,0,4.0,permanent,0
2021,16,Istanbul,Red Bull Racing,VER,PER,-4.0,-4.0,139.0,0,-1.0,permanent,1
2021,16,Istanbul,Red Bull Racing,PER,VER,4.0,4.0,-139.0,0,1.0,permanent,0
2021,16,Istanbul,Williams,RUS,LAT,-4.0,-2.0,15.0,0,-2.0,permanent,1
2021,16,Istanbul,Williams,LAT,RUS,4.0,2.0,-15.0,0,2.0,permanent,0
2021,17,Austin,Alfa Romeo Racing,GIO,RAI,-5.0,-3.0,-5.0,0,-2.0,permanent,1
2021,17,Austin,Alfa Romeo Racing,RAI,GIO,5.0,3.0,5.0,0,2.0,permanent,0
2021,17,Austin,Aston Martin,VET,STR,-4.0,5.0,24.0,0,-3.0,permanent,1
2021,17,Austin,Aston Martin,STR,VET,4.0,-5.0,-24.0,0,3.0,permanent,0
2021,17,Austin,Ferrari,LEC,SAI,-1.0,-1.0,-13.0,0,-3.5,permanent,1
2021,17,Austin,Ferrari,SAI,LEC,1.0,1.0,13.0,0,3.5,permanent,0
2021,17,Austin,McLaren,RIC,NOR,-1.0,-1.0,-50.0,0,3.5,permanent,1
